iter	Passed	Remaining
526	112679	101133
527	112839	100871
528	113026	100634
529	113188	100374
530	113360	100124
531	113515	99859
532	113666	99591
533	113856	99358
534	114008	99091
535	114202	98862
536	114384	98622
537	114548	98367
538	114726	98124
539	114882	97862
540	115059	97620
541	115235	97375
542	115361	97090
543	115490	96808
544	115637	96541
545	115800	96288
546	116020	96082
547	116211	95853
548	116372	95599
549	116535	95347
550	116718	95111
551	116925	94895
552	117056	94618
553	117231	94377
554	117391	94124
555	117554	93874
556	117713	93621
557	117884	93378
558	118062	93140
559	118222	92889
560	118406	92657
561	118586	92421
562	118747	92171
563	118897	91914
564	119082	91683
565	119240	91432
566	119431	91205
567	119634	90989
568	119829	90767
569	119966	90500
570	120138	90262
571	120328	90035
572	120520	89812
573	120698	89577
574	120896	89358
575	121062	89115
576	121260	88896
577	121418	88648
578	121599	88416
579	121748	88162
580	121938	87938
581	122077	87677
582	122247	87439
583	122409	87195
584	122572	86953
585	122743	86716
586	122904	86473
587	123062	86227
588	123232	85990
589	123415	85763
590	123579	85523
591	123742	85281
592	123924	85054
593	124071	84802
594	124222	84554
595	124411	84332
596	124600	84110
597	124796	83893
598	124970	83661
599	125153	83435
600	125327	83203
601	125506	82975
602	125667	82736
603	125867	82522
604	126074	82312
605	126277	82100
606	126442	81864
607	126611	81631
608	126748	81377
609	126894	81129
610	127023	80870
611	127197	80641
612	127355	80402
613	127502	80156
614	127661	79918
615	127826	79683
616	128000	79455
617	128178	79230
618	128350	79001
619	128503	78760
620	128691	78541
621	128904	78337
622	129119	78134
623	129312	77918
624	129455	77673
625	129612	77436
626	129763	77195
627	129926	76962
628	130059	76712
629	130232	76485
630	130401	76257
631	130569	76027
632	130717	75787
633	130895	75564
634	131073	75341
635	131258	75122
636	131481	74925
637	131682	74716
638	131870	74499
639	132044	74274
640	132220	74051
641	132371	73814
642	132526	73580
643	132688	73349
644	132849	73118
645	133032	72900
646	133213	72680
647	133431	72481
648	133599	72255
649	133791	72041
650	133941	71805
651	134107	71578
652	134288	71360
653	134488	71151
654	134669	70932
655	134824	70700
656	135007	70483
657	135210	70276
658	135411	70068
659	135607	69858
660	135741	69616
661	135922	69398
662	136089	69173
663	136266	68954
664	136430	68728
665	136623	68516
666	136822	68308
667	136966	68072
668	137115	67840
669	137272	67611
670	137443	67390
671	137613	67168
672	137777	66943
673	137948	66722
674	138104	66494
675	138285	66278
676	138451	66055
677	138624	65836
678	138828	65631
679	139018	65420
680	139210	65210
681	139428	65012
682	139660	64820
683	139852	64610
684	140012	64385
685	140250	64196
686	140426	63978
687	140608	63764
688	140780	63545
689	140928	63315
690	141098	63096
691	141306	62893
692	141459	62666
693	141656	62459
694	141843	62248
695	142013	62029
696	142195	61815
697	142418	61619
698	142603	61407
699	142758	61182
700	142920	60960
701	143152	60768
702	143386	60577
703	143584	60370
704	143742	60147
705	143928	59936
706	144083	59712
707	144257	59495
708	144443	59285
709	144602	59063
710	144785	58850
711	144949	58631
712	145141	58423
713	145331	58214
714	145530	58008
715	145706	57794
716	145918	57594
717	146086	57376
718	146289	57172
719	146445	56951
720	146627	56739
721	146783	56517
722	146929	56292
723	147116	56083
724	147262	55858
725	147437	55644
726	147612	55430
727	147764	55208
728	147938	54995
729	148112	54781
730	148275	54563
731	148452	54351
732	148602	54129
733	148773	53915
734	148970	53710
735	149142	53496
736	149339	53292
737	149489	53070
738	149678	52863
739	149845	52648
740	150038	52442
741	150204	52227
742	150373	52013
743	150547	51801
744	150734	51593
745	150891	51375
746	151028	51151
747	151192	50936
748	151370	50726
749	151544	50514
750	151702	50298
751	151894	50093
752	152047	49874
753	152229	49666
754	152423	49461
755	152571	49242
756	152767	49038
757	152923	48822
758	153108	48615
759	153303	48411
760	153455	48194
761	153632	47984
762	153803	47773
763	153995	47569
764	154153	47354
765	154320	47142
766	154504	46935
767	154698	46731
768	154840	46512
769	155006	46300
770	155174	46089
771	155306	45867
772	155448	45649
773	155622	45440
774	155786	45228
775	155973	45023
776	156109	44803
777	156285	44595
778	156415	44374
779	156567	44160
780	156728	43948
781	156881	43734
782	157032	43519
783	157215	43314
784	157402	43110
785	157573	42901
786	157740	42692
787	157934	42490
788	158134	42289
789	158310	42082
790	158463	41869
791	158637	41662
792	158792	41450
793	158964	41242
794	159165	41042
795	159312	40828
796	159503	40626
797	159673	40418
798	159828	40207
799	159965	39991
800	160125	39781
801	160273	39568
802	160445	39362
803	160621	39156
804	160789	38949
805	160946	38739
806	161107	38530
807	161294	38327
808	161456	38118
809	161631	37913
810	161830	37713
811	161999	37507
812	162188	37305
813	162357	37098
814	162515	36889
815	162648	36675
816	162829	36472
817	163000	36266
818	163171	36061
819	163347	35856
820	163491	35645
821	163652	35438
822	163867	35242
823	164076	35045
824	164266	34844
825	164446	34641
826	164609	34434
827	164795	34232
828	164970	34028
829	165172	33830
830	165345	33626
831	165551	33428
832	165727	33225
833	165923	33025
834	166058	32813
835	166205	32604
836	166388	32402
837	166576	32202
838	166714	31991
839	166884	31787
840	167099	31591
841	167289	31391
842	167498	31194
843	167673	30991
844	167807	30781
845	167973	30576
846	168126	30369
847	168295	30166
848	168468	29963
849	168646	29761
850	168823	29559
851	168988	29354
852	169129	29146
853	169323	28947
854	169503	28746
855	169661	28541
856	169818	28336
857	169982	28132
858	170146	27928
859	170313	27725
860	170500	27525
861	170674	27323
862	170840	27120
863	171007	26917
864	171207	26720
865	171430	26526
866	171630	26328
867	171817	26128
868	172004	25929
869	172188	25729
870	172386	25531
871	172566	25330
872	172790	25136
873	172937	24931
874	173112	24730
875	173263	24525
876	173425	24323
877	173633	24126
878	173820	23927
879	173982	23724
880	174143	23522
881	174334	23323
882	174533	23126
883	174712	22926
884	174893	22726
885	175058	22524
886	175209	22320
887	175373	22119
888	175509	21914
889	175667	21711
890	175825	21509
891	176007	21310
892	176155	21107
893	176298	20903
894	176501	20706
895	176679	20507
896	176848	20306
897	177005	20105
898	177185	19906
899	177359	19706
900	177528	19506
901	177719	19308
902	177872	19107
903	178050	18908
904	178210	18707
905	178387	18508
906	178582	18311
907	178754	18111
908	178933	17913
909	179108	17714
910	179247	17511
911	179410	17311
912	179606	17114
913	179769	16914
914	179929	16714
915	180090	16514
916	180237	16313
917	180393	16113
918	180581	15916
919	180757	15718
920	180914	15518
921	181075	15318
922	181230	15118
923	181412	14921
924	181589	14723
925	181746	14524
926	181940	14327
927	182115	14129
928	182299	13932
929	182467	13734
930	182644	13536
931	182794	13336
932	182976	13139
933	183155	12942
934	183320	12744
935	183492	12546
936	183632	12346
937	183810	12149
938	183979	11951
939	184117	11752
940	184272	11553
941	184427	11355
942	184635	11160
943	184778	10961
944	184950	10764
945	185127	10567
946	185295	10370
947	185424	10170
948	185604	9974
949	185767	9777
950	185939	9580
951	186092	9382
952	186236	9184
953	186402	8987
954	186580	8791
955	186742	8594
956	186920	8398
957	187089	8202
958	187231	8004
959	187394	7808
960	187557	7611
961	187772	7417
962	187959	7221
963	188122	7025
964	188269	6828
965	188434	6632
966	188594	6435
967	188751	6239
968	188937	6044
969	189084	5847
970	189236	5651
971	189382	5455
972	189525	5259
973	189685	5063
974	189857	4868
975	190033	4672
976	190196	4477
977	190395	4282
978	190570	4087
979	190718	3892
980	190863	3696
981	191035	3501
982	191210	3306
983	191372	3111
984	191552	2917
985	191708	2722
986	191875	2527
987	192014	2332
988	192188	2137
989	192331	1942
990	192479	1748
991	192636	1553
992	192801	1359
993	192952	1164
994	193133	970
995	193281	776
996	193426	582
997	193606	387
998	193812	194
999	193988	0
