iter	RMSE
0	3468.267881
1	3136.33391
2	2849.209589
3	2589.574069
4	2367.964576
5	2170.96039
6	2005.446649
7	1852.02718
8	1727.445887
9	1614.35575
10	1514.003303
11	1427.363015
12	1355.861234
13	1287.988664
14	1230.589414
15	1183.538475
16	1141.422998
17	1102.233653
18	1070.711732
19	1041.222344
20	1015.348615
21	991.2863601
22	968.5719474
23	948.7937191
24	931.8643086
25	914.4398954
26	899.0424082
27	885.4772543
28	873.4261746
29	860.2884839
30	846.7210814
31	836.0222407
32	824.784132
33	815.3124762
34	806.8295804
35	796.9633936
36	788.5317904
37	782.7496303
38	776.4807948
39	770.0925421
40	762.6134119
41	757.5088958
42	751.3949985
43	744.6669332
44	739.7566879
45	734.5233805
46	729.5380216
47	724.9657472
48	720.0271315
49	714.5220397
50	709.8273792
51	706.5811727
52	701.321322
53	696.9275385
54	692.4731702
55	689.0424393
56	685.0495423
57	681.5687574
58	678.0088794
59	675.0524113
60	671.8789727
61	668.5325415
62	665.503846
63	662.5984969
64	660.3099234
65	657.5742046
66	653.7821553
67	650.0331565
68	647.1794102
69	644.6916217
70	642.3364447
71	639.199964
72	637.0219941
73	635.1375309
74	632.4849798
75	630.3366536
76	627.6723638
77	625.345316
78	622.8048362
79	620.0695298
80	618.2158759
81	616.4856366
82	614.1115051
83	612.0847971
84	610.1991717
85	608.1803823
86	606.4973778
87	604.3048292
88	602.6719599
89	601.2245953
90	599.1597458
91	597.6321085
92	595.5304074
93	593.6739108
94	592.1986244
95	590.1584054
96	588.4798716
97	586.6192319
98	584.7627484
99	583.0243701
100	581.5051846
101	580.215584
102	578.5953395
103	577.1681603
104	575.8376776
105	574.5160858
106	573.3888612
107	572.151125
108	570.6384422
109	569.4354325
110	568.0516261
111	566.7680076
112	565.4452213
113	563.8608699
114	562.5071671
115	561.3361551
116	560.5026829
117	559.100136
118	557.9204946
119	556.3435296
120	555.2567987
121	554.1931131
122	552.8281069
123	551.581058
124	550.6702322
125	549.4387648
126	548.4247719
127	547.3376026
128	546.2458908
129	545.1898711
130	544.3281147
131	543.308379
132	542.3440392
133	541.4474692
134	540.4214782
135	539.5338007
136	538.7122933
137	537.7711438
138	536.6953611
139	535.7342523
140	534.8548182
141	533.7297995
142	532.9704829
143	532.0852298
144	531.1514047
145	530.2796104
146	529.3924618
147	528.41412
148	527.600423
149	526.745366
150	525.8119023
151	525.2321336
152	524.4147399
153	523.7192299
154	522.7530999
155	521.8479024
156	521.1443774
157	520.4169894
158	519.7966358
159	518.9720321
160	517.9833499
161	517.1861218
162	516.3929811
163	515.6093632
164	514.8085715
165	514.1481713
166	513.4253176
167	512.6384031
168	511.9440203
169	511.2281284
170	510.5507863
171	509.8058456
172	509.2637675
173	508.4242615
174	507.7022009
175	506.9934006
176	506.3441034
177	505.5853025
178	504.8819172
179	504.1737641
180	503.7499555
181	502.9538384
182	502.4326628
183	501.8616476
184	501.2164049
185	500.6503965
186	500.033453
187	499.3934357
188	498.8135165
189	498.1416983
190	497.5769741
191	497.0069407
192	496.380759
193	495.7674589
194	495.1721125
195	494.5382684
196	494.029595
197	493.4943101
198	492.9366228
199	492.3562001
200	491.8078211
201	491.2265831
202	490.5036559
203	489.9528846
204	489.313123
205	488.7678835
206	488.2241587
207	487.6721708
208	487.2966284
209	486.7657421
210	486.2660491
211	485.7671124
212	485.3571634
213	484.8453608
214	484.3245518
215	483.8754603
216	483.3663444
217	482.912143
218	482.4281137
219	482.0024623
220	481.5168534
221	481.0243188
222	480.5833849
223	480.1630246
224	479.7553245
225	479.2608019
226	478.8062184
227	478.3330752
228	477.9727441
229	477.5781182
230	477.1211716
231	476.6391349
232	476.2688749
233	475.7033429
234	475.1584009
235	474.7639972
236	474.3859039
237	474.0632926
238	473.6374549
239	473.2032571
240	472.8397374
241	472.4396167
242	471.800019
243	471.4384455
244	471.0255569
245	470.5925385
246	470.151334
247	469.8238527
248	469.4372229
249	469.1571805
250	468.7364639
251	468.3325008
252	468.0051171
253	467.615146
254	467.2176178
255	466.9162075
256	466.5787073
257	466.1844875
258	465.8465549
259	465.4671225
260	465.0605391
261	464.7696732
262	464.4707319
263	464.1593033
264	463.8018254
265	463.4989955
266	463.0970177
267	462.7156239
268	462.1843408
269	461.837335
270	461.5291026
271	461.1136314
272	460.7406092
273	460.5101919
274	460.1508332
275	459.8337791
276	459.5091277
277	459.1875757
278	458.8932413
279	458.5767462
280	458.230739
281	457.9417635
282	457.5895513
283	457.2540157
284	457.0225064
285	456.723616
286	456.4395472
287	455.9045709
288	455.6625198
289	455.2373616
290	455.004707
291	454.6769185
292	454.4300802
293	454.1038265
294	453.747311
295	453.434638
296	453.1186073
297	452.8419829
298	452.5667167
299	452.1977354
300	451.8800178
301	451.5990037
302	451.3321435
303	451.0359016
304	450.8172465
305	450.5140058
306	450.2326665
307	449.9389892
308	449.6873494
309	449.4142981
310	449.1354288
